DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-04 21:30:00,2008,01,04,0520,04A,5,2511,25,1130590,1919752,290,1
2008-01-05 02:00:00,2008,01,05,051A,04A,5,1423,14,1158448,1909274,304,1
2008-01-05 06:45:00,2008,01,05,051A,04A,2,0632,06,1182892,1847170,303,1
2008-01-05 09:09:00,2008,01,05,051A,04A,2,0533,05,1185582,1817544,123,1
2008-01-05 09:48:00,2008,01,05,0520,04A,2,0411,04,1185214,1851144,290,1
2008-01-05 10:00:00,2008,01,05,0530,04A,1,2123,21,1184525,1876679,240,1
2008-01-05 10:35:00,2008,01,05,051A,04A,4,1123,11,1153152,1898813,304,1
2008-01-05 10:38:12,2008,01,05,0520,04A,2,0422,04,1196617,1851654,304,1
2008-01-05 12:00:00,2008,01,05,0530,04A,5,2515,25,1139005,1915823,303,1
2008-01-05 13:00:00,2008,01,05,0520,04A,2,2232,22,1173392,1837496,290,1
2008-01-05 14:00:00,2008,01,05,051A,04A,2,2222,22,1169275,1845222,303,1
2008-01-05 14:00:22,2008,01,05,0520,04A,2,0424,04,1199149,1847500,290,1
2008-01-05 14:55:00,2008,01,05,051A,04A,2,0531,05,1180308,1829792,304,1
2008-01-05 17:02:00,2008,01,05,051A,04A,2,0313,03,1181991,1864094,304,1
2008-01-05 17:47:49,2008,01,05,0520,04A,3,2312,23,1168808,1932024,303,1
2008-01-05 18:47:09,2008,01,05,051A,04A,5,1511,15,1137042,1905693,303,1
2008-01-05 19:55:00,2008,01,05,051A,04A,4,1331,13,1156276,1901520,303,1
2008-01-05 22:30:00,2008,01,05,0530,04A,1,0832,08,1161976,1858438,303,1
2008-01-05 22:40:00,2008,01,05,0530,04A,2,2233,22,1175040,1829427,290,1
2008-01-06 02:15:53,2008,01,06,051A,04A,1,0211,02,1178104,1881266,090,1
2008-01-06 02:29:00,2008,01,06,051A,04A,3,1924,19,1168058,1922664,303,1
2008-01-06 02:30:00,2008,01,06,0520,04A,1,0931,09,1166556,1871641,304,1
2008-01-06 15:15:00,2008,01,06,0520,04A,4,1022,10,1155629,1890176,290,1
2008-01-06 17:20:00,2008,01,06,0530,04A,5,1422,14,1152278,1910359,304,1
2008-01-06 17:42:00,2008,01,06,0530,04A,5,2512,25,1135942,1915832,289,1
2008-01-06 18:45:00,2008,01,06,051A,04A,2,0632,06,1183025,1848061,304,1
2008-01-06 20:47:31,2008,01,06,0520,04A,1,0211,02,1177826,1881136,304,1
