DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-06 13:00:00,2008,01,06,141C,15,1,0813,08,1145710,1865862,095,1
2008-01-06 14:44:04,2008,01,06,143A,15,2,0424,04,1198076,1847678,090,1
2008-01-06 16:02:16,2008,01,06,143A,15,4,1031,10,1151921,1884500,304,1
2008-01-06 17:47:48,2008,01,06,1460,15,1,0715,07,1165353,1866927,330,1
2008-01-06 18:03:00,2008,01,06,2900,15,2,0533,05,1180489,1815153,092,1
2008-01-06 20:40:00,2008,01,06,143A,15,1,2132,21,1188200,1870163,304,1
2008-01-06 20:45:00,2008,01,06,143A,15,2,0513,05,1177296,1832383,304,1
2008-01-06 20:57:00,2008,01,06,143A,15,5,2534,25,1148399,1911557,092,1
2008-01-06 21:27:00,2008,01,06,143A,15,1,0823,08,1158262,1862031,303,1
2008-01-06 21:30:00,2008,01,06,143A,15,1,0832,08,1160943,1858666,304,1
2008-01-06 23:20:00,2008,01,06,143A,15,2,0613,06,1170149,1849365,303,1
2008-01-07 00:04:00,2008,01,07,143A,15,1,0911,09,1155970,1869833,304,1
2008-01-07 02:02:01,2008,01,07,143A,15,1,0732,07,1173897,1857767,092,1
2008-01-07 08:45:00,2008,01,07,141C,15,2,0613,06,1169734,1849464,314,1
2008-01-07 09:00:00,2008,01,07,2900,15,1,0821,08,1150935,1871419,314,1
2008-01-07 15:21:00,2008,01,07,143A,15,2,0424,04,1198647,1849847,303,1
2008-01-07 18:11:00,2008,01,07,143A,15,1,0726,07,1165138,1862698,304,1
2008-01-07 20:16:00,2008,01,07,143A,15,3,1913,19,1162008,1923831,304,1
2008-01-07 20:56:05,2008,01,07,143A,15,1,0932,09,1166422,1868278,293,1
2008-01-07 21:46:00,2008,01,07,143A,15,2,2233,22,1175006,1830490,303,1
2008-01-08 03:59:00,2008,01,08,143A,15,1,0712,07,1169603,1866303,304,1
2008-01-08 08:15:00,2008,01,08,141C,15,2,0423,04,1195333,1849722,314,1
2008-01-08 08:25:00,2008,01,08,1435,15,2,0414,04,1189903,1854626,314,1
2008-01-08 08:25:00,2008,01,08,1435,15,2,0511,05,1178815,1840807,314,1
2008-01-08 11:45:00,2008,01,08,143A,15,2,0533,05,1185323,1818350,304,1
2008-01-08 17:41:18,2008,01,08,143A,15,5,1524,15,1141238,1905261,090,1
2008-01-08 21:45:00,2008,01,08,143A,15,4,1132,11,1150463,1896358,330,1
2008-01-08 22:24:35,2008,01,08,143A,15,2,0421,04,1196365,1855034,303,1
2008-01-08 22:44:48,2008,01,08,141C,15,1,0835,08,1161899,1852238,277,1
2008-01-08 23:55:00,2008,01,08,143A,15,4,1123,11,1153433,1901745,303,1
2008-01-09 00:43:00,2008,01,09,143A,15,2,0623,06,1177484,1852588,323,1
2008-01-09 02:15:00,2008,01,09,141C,15,5,1634,16,1141067,1926062,304,1
2008-01-09 07:52:53,2008,01,09,143A,15,4,1131,11,1147165,1897627,303,1
2008-01-09 16:53:00,2008,01,09,141C,15,5,1411,14,1154900,1919696,303,1
2008-01-09 18:14:58,2008,01,09,1435,15,2,0412,04,1191717,1847744,314,1
2008-01-09 19:33:00,2008,01,09,143A,15,4,1111,11,1147816,1907033,290,1
2008-01-09 21:25:00,2008,01,09,143A,15,4,1121,11,1152572,1906296,090,1
2008-01-09 23:20:00,2008,01,09,1460,15,5,1634,16,1141237,1922485,304,1
2008-01-10 00:18:00,2008,01,10,143A,15,2,0322,03,1178749,1859155,330,1
2008-01-10 09:15:00,2008,01,10,141C,15,2,0414,04,1189903,1854626,314,1
2008-01-10 11:00:00,2008,01,10,141C,15,2,0522,05,1177728,1827089,314,1
2008-01-10 11:13:00,2008,01,10,143A,15,1,0733,07,1171605,1856578,290,1
2008-01-10 11:32:36,2008,01,10,143A,15,2,0434,04,1193087,1837088,280,1
2008-01-10 12:15:00,2008,01,10,143A,15,2,0633,06,1183131,1844112,304,1
2008-01-10 13:15:00,2008,01,10,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-10 13:18:42,2008,01,10,141C,15,4,1131,11,1147595,1896093,314,1
2008-01-10 14:18:00,2008,01,10,143A,15,5,1634,16,1142293,1921513,092,1
2008-01-10 15:12:00,2008,01,10,143A,15,4,1125,11,1159467,1899638,090,1
2008-01-10 16:15:00,2008,01,10,143A,15,2,0522,05,1177607,1828363,290,1
2008-01-10 19:01:00,2008,01,10,143A,15,2,0312,03,1181623,1862910,289,1
2008-01-10 19:34:00,2008,01,10,143A,15,1,0735,07,1164531,1857978,290,1
2008-01-10 20:53:00,2008,01,10,1476,15,1,2113,21,1176707,1885874,122,1
2008-01-10 21:11:00,2008,01,10,2900,15,2,0411,04,1188356,1852965,303,1
2008-01-10 22:59:00,2008,01,10,143A,15,1,0712,07,1170903,1864417,304,1
2008-01-11 00:00:39,2008,01,11,2900,15,2,0433,04,1197716,1819962,303,1
2008-01-11 09:37:00,2008,01,11,143A,15,2,0423,04,1196887,1843807,290,1
2008-01-11 15:12:53,2008,01,11,143A,15,4,1123,11,1154708,1900758,290,1
2008-01-11 15:50:00,2008,01,11,143A,15,2,0624,06,1180985,1852653,290,1
2008-01-11 16:17:30,2008,01,11,141A,15,3,2032,20,1162031,1934295,300,1
2008-01-11 16:40:00,2008,01,11,143A,15,2,0512,05,1176882,1834026,303,1
2008-01-11 21:01:00,2008,01,11,141C,15,1,0711,07,1173956,1867688,304,1
2008-01-12 01:07:00,2008,01,12,143B,15,5,2532,25,1140484,1910077,303,1
2008-01-12 04:45:00,2008,01,12,1477,15,4,1223,12,1163434,1890373,304,1
2008-01-12 11:51:42,2008,01,12,143A,15,2,0634,06,1177295,1842923,092,1
2008-01-12 16:04:08,2008,01,12,143B,15,1,0711,07,1174217,1866444,303,1
2008-01-12 16:39:18,2008,01,12,143A,15,1,0214,02,1177828,1876747,090,1
2008-01-12 20:08:00,2008,01,12,143A,15,1,0823,08,1158756,1862682,303,1
2008-01-12 20:30:00,2008,01,12,141C,15,4,0112,01,1175942,1898932,323,1
2008-01-12 20:43:00,2008,01,12,143A,15,2,0633,06,1182823,1843509,303,1
2008-01-12 20:56:23,2008,01,12,143A,15,4,1112,11,1152161,1906269,090,1
2008-01-13 00:14:00,2008,01,13,143A,15,1,0722,07,1176901,1860589,289,1
2008-01-13 00:16:00,2008,01,13,143A,15,1,0833,08,1151898,1853608,304,1
2008-01-13 02:10:00,2008,01,13,143A,15,5,2515,25,1138215,1913654,277,1
2008-01-13 02:25:00,2008,01,13,143A,15,5,1531,15,1144024,1904567,092,1
2008-01-13 05:25:00,2008,01,13,143A,15,2,0613,06,1170448,1847155,304,1
2008-01-13 09:10:00,2008,01,13,143A,15,3,2313,23,1169878,1930046,304,1
2008-01-13 13:00:00,2008,01,13,143A,15,5,1733,17,1153126,1923649,303,1
2008-01-13 13:52:41,2008,01,13,143A,15,2,0334,03,1193808,1857373,092,1
2008-01-13 18:00:00,2008,01,13,143A,15,1,0722,07,1176079,1860589,220,1
2008-01-13 18:13:03,2008,01,13,141C,15,1,0234,02,1179192,1868453,323,1
2008-01-13 18:29:01,2008,01,13,141C,15,2,0432,04,1202091,1840351,221,1
2008-01-13 18:30:00,2008,01,13,143A,15,1,0813,08,1150047,1863657,290,1
2008-01-13 18:43:35,2008,01,13,143A,15,1,0935,09,1173346,1876115,303,1
2008-01-13 19:45:00,2008,01,13,2900,15,2,2233,22,1173239,1831288,220,1
2008-01-13 20:04:00,2008,01,13,143A,15,4,1133,11,1152949,1896434,090,1
2008-01-13 20:08:00,2008,01,13,2900,15,5,1633,16,1138133,1923411,304,1
2008-01-13 21:29:00,2008,01,13,143A,15,1,0711,07,1173948,1865178,259,1
2008-01-13 23:50:00,2008,01,13,143A,15,4,1123,11,1153303,1901821,090,1
2008-01-14 01:20:00,2008,01,14,143A,15,5,2522,25,1141973,1914746,290,1
2008-01-14 04:39:09,2008,01,14,143A,15,2,0412,04,1189699,1849357,092,1
2008-01-14 08:15:00,2008,01,14,141C,15,1,0726,07,1165425,1861330,314,1
2008-01-14 09:30:00,2008,01,14,143A,15,2,0312,03,1179994,1862140,200,1
2008-01-14 09:34:00,2008,01,14,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-14 10:08:43,2008,01,14,143A,15,2,0423,04,1195945,1846527,314,1
2008-01-14 13:29:57,2008,01,14,2900,15,5,1524,15,1140502,1904362,314,1
2008-01-14 13:30:00,2008,01,14,2900,15,5,2533,25,1141810,1909167,314,1
2008-01-14 15:20:39,2008,01,14,1477,15,2,0414,04,1189805,1855342,304,1
2008-01-14 15:52:00,2008,01,14,141A,15,4,1133,11,1152330,1896165,330,1
2008-01-14 21:04:49,2008,01,14,143A,15,1,0914,09,1160035,1876170,300,1
2008-01-14 22:30:00,2008,01,14,143A,15,2,0513,05,1182861,1833760,304,1
2008-01-14 22:45:00,2008,01,14,1460,15,2,2211,22,1151908,1830733,304,1
2008-01-15 01:22:00,2008,01,15,143A,15,1,0734,07,1168860,1856985,200,1
2008-01-15 03:18:56,2008,01,15,143A,15,5,1533,15,1144391,1898372,304,1
2008-01-15 09:50:00,2008,01,15,143A,15,2,0611,06,1166991,1852927,221,1
2008-01-15 12:15:00,2008,01,15,2900,15,1,0911,09,1159597,1868230,314,1
2008-01-15 14:20:00,2008,01,15,143A,15,1,0726,07,1165425,1861330,314,1
2008-01-15 15:42:49,2008,01,15,2900,15,2,0434,04,1194858,1834132,314,1
2008-01-15 18:43:13,2008,01,15,143A,15,4,1112,11,1151152,1906639,090,1
2008-01-15 19:00:00,2008,01,15,143A,15,4,1131,11,1146432,1897210,303,1
2008-01-15 21:31:52,2008,01,15,143A,15,2,0511,05,1176319,1836677,303,1
2008-01-15 22:30:39,2008,01,15,1460,15,5,1533,15,1144366,1897618,303,1
2008-01-15 22:54:00,2008,01,15,143A,15,2,0623,06,1175954,1852620,304,1
2008-01-16 02:00:00,2008,01,16,143A,15,1,0912,09,1159480,1875198,304,1
2008-01-16 02:38:00,2008,01,16,143A,15,1,0831,08,1159932,1858754,304,1
2008-01-16 08:00:00,2008,01,16,141C,15,4,1322,13,1165512,1906500,314,1
2008-01-16 09:10:27,2008,01,16,141C,15,2,0414,04,1189903,1854645,314,1
2008-01-16 09:10:27,2008,01,16,141C,15,2,0414,04,1189903,1854645,314,1
2008-01-16 09:10:27,2008,01,16,141C,15,2,0414,04,1189903,1854645,314,1
2008-01-16 09:45:00,2008,01,16,141C,15,1,0734,07,1168425,1857717,314,1
2008-01-16 09:45:00,2008,01,16,141C,15,1,0726,07,1165425,1861330,314,1
2008-01-16 15:52:14,2008,01,16,1460,15,2,0432,04,1202811,1833797,314,1
2008-01-16 16:11:07,2008,01,16,143A,15,2,0533,05,1185216,1818451,123,1
2008-01-16 19:18:17,2008,01,16,143A,15,2,0424,04,1199145,1847666,090,1
2008-01-16 19:37:00,2008,01,16,143A,15,2,0624,06,1182886,1852733,304,1
2008-01-16 19:48:00,2008,01,16,143A,15,1,0925,09,1172587,1881330,090,1
2008-01-16 19:48:00,2008,01,16,143A,15,1,0925,09,1172587,1881330,090,1
2008-01-16 20:00:00,2008,01,16,143A,15,2,0624,06,1182965,1852736,303,1
2008-01-16 20:04:00,2008,01,16,1477,15,5,2525,25,1150018,1913710,304,1
2008-01-16 20:17:00,2008,01,16,143B,15,2,0513,05,1175789,1832598,290,1
2008-01-16 21:00:00,2008,01,16,143A,15,2,0631,06,1183703,1850714,092,1
2008-01-16 22:12:44,2008,01,16,143C,15,3,2413,24,1161512,1940577,090,1
2008-01-17 02:06:13,2008,01,17,143A,15,2,0632,06,1183748,1848746,304,1
2008-01-17 08:00:00,2008,01,17,141C,15,4,1135,11,1156782,1896186,314,1
2008-01-17 08:15:00,2008,01,17,141C,15,4,0113,01,1175823,1900857,323,1
2008-01-17 13:05:52,2008,01,17,141C,15,2,0433,04,1202032,1829944,314,1
2008-01-17 14:10:00,2008,01,17,143C,15,5,1631,16,1125765,1922074,314,1
2008-01-17 14:30:36,2008,01,17,2900,15,2,0434,04,1194858,1834132,314,1
2008-01-17 16:30:00,2008,01,17,143A,15,2,0533,05,1184721,1817319,123,1
2008-01-17 22:00:23,2008,01,17,143A,15,1,0233,02,1178769,1867316,090,1
2008-01-17 23:10:00,2008,01,17,143A,15,2,0631,06,1183916,1851997,304,1
2008-01-18 08:43:00,2008,01,18,143A,15,2,0312,03,1182372,1862217,090,1
2008-01-18 11:30:00,2008,01,18,141B,15,1,0935,09,1172475,1873205,314,1
2008-01-18 14:14:00,2008,01,18,1460,15,2,2233,22,1173616,1832781,314,1
2008-01-18 15:24:00,2008,01,18,143A,15,2,0423,04,1197320,1847695,289,1
2008-01-18 18:35:00,2008,01,18,143A,15,2,0612,06,1169635,1853033,304,1
2008-01-18 22:01:00,2008,01,18,143A,15,5,2524,25,1149593,1916191,092,1
2008-01-18 22:02:04,2008,01,18,143A,15,4,1012,10,1146929,1892158,290,1
2008-01-19 01:51:33,2008,01,19,143A,15,2,0412,04,1186326,1847516,257,1
2008-01-19 18:27:19,2008,01,19,143A,15,4,1014,10,1152223,1891836,304,1
2008-01-19 19:15:26,2008,01,19,143A,15,1,0222,02,1179255,1874254,304,1
2008-01-19 22:28:26,2008,01,19,143A,15,2,0511,05,1184886,1838728,238,1
2008-01-20 01:09:00,2008,01,20,141A,15,1,0935,09,1175076,1875239,290,1
2008-01-20 02:45:00,2008,01,20,1477,15,4,1324,13,1163978,1904417,290,1
2008-01-20 15:33:07,2008,01,20,143A,15,1,0713,07,1167900,1868014,304,1
2008-01-20 16:38:59,2008,01,20,143A,15,5,1533,15,1143328,1900007,304,1
2008-01-20 18:01:00,2008,01,20,143A,15,1,0923,09,1168069,1885686,304,1
2008-01-20 20:54:48,2008,01,20,143A,15,4,1115,11,1149282,1900142,304,1
2008-01-20 22:42:08,2008,01,20,143A,15,4,1011,10,1151870,1893914,303,1
2008-01-21 01:36:00,2008,01,21,143A,15,5,2524,25,1149353,1915760,259,1
2008-01-21 08:30:00,2008,01,21,143A,15,5,1733,17,1155140,1923067,290,1
2008-01-21 13:49:53,2008,01,21,141A,15,2,0421,04,1194549,1855221,330,1
2008-01-21 13:50:00,2008,01,21,141C,15,1,0913,09,1158356,1879617,303,1
2008-01-21 18:17:50,2008,01,21,143A,15,4,1114,11,1149065,1900941,290,1
2008-01-21 19:10:21,2008,01,21,143B,15,2,0322,03,1180819,1858985,290,1
2008-01-21 19:35:18,2008,01,21,143A,15,4,1013,10,1152379,1887189,304,1
2008-01-21 21:33:23,2008,01,21,143A,15,1,0712,07,1170367,1865477,330,1
2008-01-21 23:53:27,2008,01,21,1477,15,2,0414,04,1189529,1853126,092,1
2008-01-22 01:07:35,2008,01,22,143A,15,4,1011,10,1152213,1893543,090,1
2008-01-22 12:58:52,2008,01,22,143A,15,1,0722,07,1174082,1859783,303,1
2008-01-22 13:14:00,2008,01,22,143A,15,4,1112,11,1151944,1905160,330,1
2008-01-22 15:47:09,2008,01,22,143A,15,4,1121,11,1152912,1903415,290,1
2008-01-22 17:36:00,2008,01,22,1477,15,1,0233,02,1178109,1866524,090,1
2008-01-22 18:15:00,2008,01,22,141C,15,5,1422,14,1153345,1912850,092,1
2008-01-22 19:55:00,2008,01,22,141C,15,5,1423,14,1157405,1910375,303,1
2008-01-22 20:13:21,2008,01,22,143A,15,5,1712,17,1151797,1932186,303,1
2008-01-23 00:35:24,2008,01,23,141C,15,2,0311,03,1179720,1864686,304,1
2008-01-23 08:30:00,2008,01,23,141C,15,2,0624,06,1183864,1853722,314,1
2008-01-23 09:00:00,2008,01,23,141C,15,2,0414,04,1189903,1854645,314,1
2008-01-23 09:57:00,2008,01,23,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-23 10:59:00,2008,01,23,143C,15,5,1422,14,1153832,1908080,290,1
2008-01-23 13:59:00,2008,01,23,143A,15,5,1731,17,1147859,1923113,304,1
2008-01-23 16:10:00,2008,01,23,141C,15,5,1422,14,1152518,1911000,303,1
2008-01-23 16:15:00,2008,01,23,141C,15,2,0524,05,1174830,1825550,314,1
2008-01-23 16:31:00,2008,01,23,143A,15,1,0711,07,1174124,1866765,303,1
2008-01-23 18:50:00,2008,01,23,143A,15,1,0831,08,1158809,1857475,304,1
2008-01-23 19:48:14,2008,01,23,143A,15,2,0434,04,1195498,1835148,304,1
2008-01-23 20:41:04,2008,01,23,143A,15,1,0233,02,1177926,1865880,304,1
2008-01-23 21:36:02,2008,01,23,143A,15,1,0831,08,1154808,1861276,303,1
2008-01-23 22:45:17,2008,01,23,143A,15,4,1011,10,1147625,1893842,090,1
2008-01-24 12:03:21,2008,01,24,143A,15,2,2212,22,1165650,1828507,092,1
2008-01-24 16:10:00,2008,01,24,143A,15,4,1031,10,1151145,1884296,303,1
2008-01-24 18:59:29,2008,01,24,1477,15,4,1121,11,1153491,1906412,304,1
2008-01-24 21:18:00,2008,01,24,143A,15,4,1032,10,1153170,1886120,090,1
2008-01-25 01:15:00,2008,01,25,1460,15,1,0915,09,1162099,1871099,290,1
2008-01-25 03:39:08,2008,01,25,143B,15,4,1012,10,1149922,1892346,259,1
2008-01-25 05:48:00,2008,01,25,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-25 09:37:00,2008,01,25,143A,15,2,0523,05,1175202,1824216,290,1
2008-01-25 11:06:00,2008,01,25,143A,15,3,2011,20,1155876,1938512,330,1
2008-01-25 11:45:00,2008,01,25,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-25 14:00:00,2008,01,25,141C,15,5,1731,17,1143783,1923423,261,1
2008-01-25 17:27:00,2008,01,25,141C,15,4,1323,13,1172307,1904191,303,1
2008-01-25 19:41:34,2008,01,25,1460,15,2,0531,05,1180233,1829634,290,1
2008-01-25 20:09:40,2008,01,25,1460,15,3,2432,24,1166727,1943779,304,1
2008-01-25 21:25:00,2008,01,25,143A,15,2,0624,06,1183564,1852730,090,1
2008-01-25 21:30:00,2008,01,25,143A,15,2,0513,05,1176841,1832630,259,1
2008-01-25 22:40:00,2008,01,25,143A,15,4,0134,01,1177566,1890686,090,1
2008-01-26 00:30:00,2008,01,26,143A,15,5,2525,25,1149046,1914860,304,1
2008-01-26 02:14:00,2008,01,26,1460,15,2,2234,22,1170639,1831893,303,1
2008-01-26 20:13:00,2008,01,26,143A,15,2,0631,06,1183696,1851012,289,1
2008-01-26 21:58:00,2008,01,26,141C,15,3,2322,23,1168920,1926917,240,1
2008-01-26 22:26:00,2008,01,26,143A,15,1,0223,02,1181433,1873911,303,1
2008-01-26 22:30:00,2008,01,26,143A,15,2,0513,05,1177132,1833932,304,1
2008-01-26 23:49:12,2008,01,26,143A,15,1,0914,09,1166169,1873685,304,1
2008-01-27 00:13:00,2008,01,27,143A,15,4,1022,10,1155889,1893450,289,1
2008-01-27 08:18:03,2008,01,27,141C,15,3,1823,18,1173042,1906702,122,1
2008-01-27 10:55:40,2008,01,27,143A,15,2,0411,04,1185309,1852021,304,1
2008-01-27 15:03:00,2008,01,27,143A,15,2,0624,06,1185011,1854822,303,1
2008-01-27 16:00:00,2008,01,27,143A,15,2,0533,05,1184718,1818825,123,1
2008-01-27 16:45:07,2008,01,27,2900,15,2,0624,06,1181519,1854408,290,1
2008-01-27 17:00:00,2008,01,27,141C,15,1,0914,09,1165727,1874904,304,1
2008-01-27 21:14:00,2008,01,27,143A,15,1,0923,09,1172248,1884382,090,1
2008-01-27 22:30:00,2008,01,27,143A,15,5,2534,25,1148444,1912716,090,1
2008-01-27 22:49:44,2008,01,27,143A,15,2,0512,05,1178029,1836646,304,1
2008-01-27 22:49:47,2008,01,27,143A,15,2,0612,06,1168335,1852407,304,1
2008-01-27 23:04:00,2008,01,27,143A,15,2,0531,05,1180850,1828821,304,1
2008-01-28 07:18:00,2008,01,28,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-28 12:20:00,2008,01,28,141C,15,5,2525,25,1150643,1914385,314,1
2008-01-28 22:00:00,2008,01,28,143A,15,5,2532,25,1140283,1908172,090,1
2008-01-28 23:26:11,2008,01,28,1460,15,1,0833,08,1151123,1852191,303,1
2008-01-29 02:19:44,2008,01,29,143A,15,1,0732,07,1173213,1855782,304,1
2008-01-29 09:20:00,2008,01,29,141C,15,2,0314,03,1187899,1864102,314,1
2008-01-29 13:28:32,2008,01,29,143A,15,2,0621,06,1172720,1852166,330,1
2008-01-29 14:33:00,2008,01,29,143A,15,1,0915,09,1161689,1871425,304,1
2008-01-29 16:29:06,2008,01,29,143A,15,2,0434,04,1195189,1834046,090,1
2008-01-29 18:50:00,2008,01,29,1460,15,2,0331,03,1191924,1858382,221,1
2008-01-29 20:42:00,2008,01,29,141A,15,5,2532,25,1139216,1907491,289,1
2008-01-29 23:50:00,2008,01,29,141A,15,2,2223,22,1174247,1845393,290,1
2008-01-30 06:53:00,2008,01,30,141C,15,1,0813,08,1145609,1866345,095,1
2008-01-30 14:50:00,2008,01,30,141C,15,1,0912,09,1158338,1877159,314,1
2008-01-30 15:10:00,2008,01,30,143A,15,1,0921,09,1169701,1871686,304,1
2008-01-30 21:05:56,2008,01,30,143B,15,1,0924,09,1174537,1882938,304,1
2008-01-30 23:45:44,2008,01,30,143A,15,2,0424,04,1197300,1850464,220,1
2008-01-31 01:25:58,2008,01,31,143A,15,2,0421,04,1196976,1854289,304,1
2008-01-31 09:25:00,2008,01,31,1435,15,1,2113,21,1176794,1882179,169,1
2008-01-31 10:46:56,2008,01,31,143A,15,5,1533,15,1143419,1896127,090,1
2008-01-31 12:20:00,2008,01,31,2900,15,1,0722,07,1174121,1860558,314,1
2008-01-31 17:32:33,2008,01,31,143A,15,4,1012,10,1149595,1892154,090,1
2008-01-31 20:12:04,2008,01,31,143A,15,2,0633,06,1179931,1843222,290,1
2008-01-31 20:19:00,2008,01,31,143B,15,4,1134,11,1155601,1896572,090,1
2008-01-31 20:20:28,2008,01,31,143B,15,4,1134,11,1155675,1896573,090,1
2008-01-31 22:30:00,2008,01,31,143A,15,2,0312,03,1177356,1861868,304,1
2008-01-31 23:23:14,2008,01,31,143A,15,1,0735,07,1164670,1855841,290,1
2008-02-01 01:25:00,2008,02,01,143A,15,1,2132,21,1187200,1871163,090,1
