"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2011-01-01,2011-01-13,1151582.835,1857567.595,1
2011-01-01,2011-01-27,1171905.904,1868385.222,1
2011-01-01,2011-01-28,1172304.002,1831026.368,1
2011-01-01,2011-02-16,1149134.582,1873641.91,1
2011-01-01,2011-05-04,1148121.269,1909200.188,1
2011-01-01,2011-02-16,1156926.105,1943676.985,1
2011-01-01,2011-04-05,1138689.102,1925702.18,1
2011-01-02,2011-04-04,1151663.677,1915043.931,1
2011-01-02,2011-04-04,1158243.066,1947362.738,1
2011-01-02,2011-04-06,1143480.406,1928487.021,1
2011-01-02,2011-01-07,1150711.11,1919874.075,1
2011-01-02,2011-01-13,1156273.181,1857067.708,1
2011-01-02,2011-02-09,1175973.548,1841270.557,1
2011-01-02,2011-02-17,1165589.3,1869181.587,1
2011-01-02,2011-02-18,1176914.439,1843292.636,1
2011-01-02,2011-02-18,1136717.619,1905725.978,1
2011-01-02,2011-02-18,1136947.622,1903699.891,1
2011-01-02,2011-02-19,1195268.476,1850912.204,1
2011-01-02,2011-02-24,1152246.362,1917991.148,1
2011-01-02,2011-03-28,1167198.587,1858836.321,1
2011-01-02,2011-03-09,1182028.915,1837921.91,1
2011-01-02,2011-03-16,1131930.2,1918592.167,1
2011-01-02,2011-03-18,1177467.572,1832679.388,1
2011-01-02,2011-04-11,1176106.718,1903018.008,1
2011-01-02,2011-05-02,1179496.931,1836722.049,1
2011-01-02,2011-03-30,1149735.99,1875496.94,1
2011-01-03,2011-01-27,1157191.59,1860564.866,1
2011-01-03,2011-01-27,1163558.02,1868174.123,1
2011-01-03,2011-01-28,1168159.715,1840765.977,1
2011-01-03,2011-01-28,1172757.798,1885985.39,1
2011-01-03,2011-01-28,1160296.893,1832803.438,1
2011-01-03,2011-02-01,1149283.416,1868470.461,1
2011-01-03,2011-02-09,1174494.08,1847000.957,1
2011-01-03,2011-02-09,1178066.767,1832693.928,1
2011-01-03,2011-02-09,1173901.204,1844482.981,1
2011-01-03,2011-02-16,1137270.34,1935947.82,1
2011-01-03,2011-02-16,1156138.472,1876295.615,1
2011-01-03,2011-02-17,1141858.377,1915476.697,1
2011-01-03,2011-02-17,1164732.619,1934269.135,1
2011-01-03,2011-02-19,1130801.563,1911257.179,1
2011-01-03,2011-02-19,1195234.801,1852430.267,1
2011-01-03,2011-02-22,1159128.45,1910087.111,1
2011-01-03,2011-02-23,1195493.823,1837534.18,1
2011-01-03,2011-02-23,1193934.794,1856132.4,1
2011-01-03,2011-02-24,1142819.905,1898200.305,1
2011-01-03,2011-02-24,1166489.598,1890499.655,1
2011-01-03,2011-02-24,1201337.272,1843321.644,1
2011-01-03,2011-02-24,1155263.082,1904049.737,1
2011-01-03,2011-02-24,1153491.646,1835847.596,1
2011-01-03,2011-02-24,1152358.895,1925852.99,1
2011-01-03,2011-02-24,1157295.636,1935756.494,1
2011-01-03,2011-02-24,1136642.037,1901397.049,1
2011-01-03,2011-02-24,1172660.557,1830284.816,1
2011-01-03,2011-03-12,1164920.2,1905403.123,1
2011-01-03,2011-03-17,1149708.937,1921655.764,1
2011-01-03,2011-03-17,1154674.986,1866976.936,1
2011-01-03,2011-03-31,1149273.956,1889440.275,1
2011-01-03,2011-04-04,1139063.138,1923060.038,1
2011-01-03,2011-04-05,1169768.404,1827135.84,1
2011-01-03,2011-04-07,1172317.478,1912410.54,1
2011-01-03,2011-04-08,1162912.662,1834955.665,1
2011-01-03,2011-04-13,1182655.129,1836460.25,1
2011-01-03,2011-05-03,1158498.875,1920565.89,1
2011-01-03,2011-05-06,1195089.78,1841900.32,1
2011-01-03,2011-08-12,1171587.91,1868700.298,1
2011-01-03,2011-08-15,1176038.682,1896197.26,1
2011-01-03,2012-01-03,1169661.43,1912929.96,1
2011-01-03,2012-01-03,1169664.23,1912850.96,1
2011-01-03,2011-01-04,1172732.673,1887003.622,1
2011-01-03,2011-01-05,1129922.4,1869550.073,1
2011-01-03,2011-01-05,1136426.75,1864116.91,1
2011-01-03,2011-01-05,1136430.55,1864009.01,1
2011-01-03,2011-01-06,1201181.682,1835791.969,1
2011-01-03,2011-01-06,1203169.921,1835053.319,1
2011-01-03,2011-01-09,1153069.383,1935996.469,1
2011-01-03,2011-01-11,1192074.905,1859444.422,1
2011-01-03,2011-01-12,1161911.438,1904317.272,1
2011-01-03,2011-01-12,1149104.785,1863083.053,1
2011-01-03,2011-01-13,1136737.311,1904395.354,1
2011-01-03,2011-01-13,1152260.056,1857247.444,1
2011-01-03,2011-01-13,1151515.335,1857565.895,1
2011-01-03,2011-01-19,1124574.474,1935291.34,1
2011-01-03,2012-01-19,1150957.922,1897751.54,1
2011-01-03,2011-01-26,1172573.262,1880361.008,1
2011-01-03,2011-01-27,1169180.107,1859024.931,1
2011-01-03,2011-01-27,1168368.107,1864093.055,1
2011-01-03,2011-01-27,1169612.4,1855376.91,1
2011-01-04,2011-01-05,1147163.836,1932285.967,1
2011-01-04,2011-01-05,1131809.893,1910963.701,1
2011-01-04,2011-01-05,1159450.103,1910658.851,1
2011-01-04,2011-01-11,1176697.525,1838935.641,1
2011-01-04,2011-01-12,1155164.102,1948570.214,1
2011-01-04,2011-01-12,1147636.634,1867594.921,1
2011-01-04,2011-01-12,1149770.661,1863084.535,1
2011-01-04,2011-01-12,1146730.182,1866067.236,1
2011-01-04,2011-01-13,1156597.7,1857371.25,1
2011-01-04,2011-01-13,1154302.054,1851324.999,1
2011-01-04,2011-01-13,1145818.645,1861521.078,1
2011-01-04,2011-01-19,1136178.06,1932258.323,1
2011-01-04,2011-01-21,1173656.876,1874419.074,1
2011-01-04,2011-01-21,1173563.176,1874416.174,1
