"DATE","X_COORD","Y_COORD","YEAR","MONTH","CALL_CNT"
2010-01-04,1151279.49010212,1892765.86700673,2010,1,1
2010-01-04,1163171.83869069,1871162.89779532,2010,1,1
2010-01-05,1163721.46168467,1852774.14410549,2010,1,1
2010-01-05,1174378.52661569,1850975.21990026,2010,1,1
2010-01-05,1167886.51123404,1853989.72291884,2010,1,1
2010-01-06,1175620.19001827,1830522.5999938,2010,1,1
2010-01-06,1183769.66487305,1835298.58011116,2010,1,1
2010-01-07,1179484.24262183,1833778.89517345,2010,1,1
2010-01-07,1180689.34157617,1816538.91217825,2010,1,1
2010-01-08,1167070.38318232,1851446.01087947,2010,1,1
2010-01-08,1157365.3289324,1829954.98247353,2010,1,1
2010-01-09,1177316.27860954,1827685.83417879,2010,1,1
2010-01-09,1177325.57860954,1827686.03417879,2010,1,1
2010-01-10,1183984.35536959,1876466.46956745,2010,1,1
2010-01-11,1180498.60009688,1833271.41871269,2010,1,1
2010-01-12,1175186.43690292,1833858.44491419,2010,1,1
2010-01-12,1153137.5422164,1918413.19879857,2010,1,1
2010-01-13,1151324.3183773,1891414.63718792,2010,1,1
2010-01-14,1173318.47561572,1830447.85630337,2010,1,1
2010-01-14,1170271.07020393,1843785.94168637,2010,1,1
2010-01-14,1174527.33727229,1845835.69618705,2010,1,1
2010-01-15,1169602.62066788,1855719.67243262,2010,1,1
2010-01-15,1174802.48819029,1835774.29249218,2010,1,1
2010-01-15,1152969.73160555,1891746.61631363,2010,1,1
2010-01-18,1176651.97999487,1829204.783531,2010,1,1
2010-01-20,1166571.31197367,1853646.50337484,2010,1,1
2010-01-20,1179431.97279766,1835625.54011672,2010,1,1
2010-01-20,1173430.96086584,1837545.15878673,2010,1,1
2010-01-21,1195680.10709959,1853591.95620864,2010,1,1
2010-01-21,1168131.91729285,1860945.24991348,2010,1,1
2010-01-21,1194873.73998864,1855072.61141599,2010,1,1
2010-01-21,1196549.32007878,1852901.43716963,2010,1,1
2010-01-21,1178039.8289718,1837911.3942027,2010,1,1
2010-01-21,1180629.74358186,1814022.27241029,2010,1,1
2010-01-21,1166576.34377374,1857412.47127395,2010,1,1
2010-01-22,1170512.33653253,1858767.53928437,2010,1,1
2010-01-22,1170511.73653253,1858787.53928437,2010,1,1
2010-01-22,1181025.64671262,1861767.20330124,2010,1,1
2010-01-23,1164073.04247093,1864198.8001263,2010,1,1
2010-01-24,1181813.36500602,1817552.60501911,2010,1,1
2010-01-24,1176259.61169838,1821055.24640789,2010,1,1
2010-01-25,1164921.58926743,1869338.00880218,2010,1,1
2010-01-25,1164569.49959874,1950085.85060298,2010,1,1
2010-01-25,1166024.25828159,1865441.34152695,2010,1,1
2010-01-25,1171606.98208568,1854988.97826572,2010,1,1
2010-01-25,1142190.42009142,1896138.94657554,2010,1,1
2010-01-25,1171259.66893219,1855620.9022665,2010,1,1
2010-01-26,1187730.80422938,1844023.32159418,2010,1,1
2010-01-27,1173237.78281504,1844451.61818716,2010,1,1
2010-01-27,1174127.44778502,1825740.12259009,2010,1,1
2010-01-27,1179484.75898719,1849793.17379479,2010,1,1
2010-01-27,1160758.70232872,1863805.51320673,2010,1,1
2010-01-28,1169905.43329697,1845005.73907613,2010,1,1
2010-01-28,1175073.93910817,1823334.74410213,2010,1,1
2010-01-28,1195312.47656607,1848812.06637928,2010,1,1
2010-01-28,1181654.23406605,1863252.8902173,2010,1,1
2010-01-28,1167091.83988542,1843029.9529839,2010,1,1
2010-01-28,1179221.55842981,1829843.68958258,2010,1,1
2010-01-28,1162973.25987721,1867903.28449457,2010,1,1
2010-01-28,1179221.55842981,1829843.68958258,2010,1,1
2010-01-29,1180319.00561833,1863881.6041809,2010,1,1
2010-01-29,1169156.12408632,1840175.91757136,2010,1,1
2010-01-29,1174850.32892956,1851647.00099302,2010,1,1
2010-01-30,1183290.41837748,1852142.53587954,2010,1,1
2010-01-30,1177990.32720311,1828034.56598568,2010,1,1
2010-01-31,1171558.68778148,1856826.70699916,2010,1,1
2010-02-01,1149133.29992784,1890100.65209668,2010,2,1
2010-02-01,1185238.49001579,1842885.52999682,2010,2,1
2010-02-01,1181816.88268142,1857172.57328173,2010,2,1
2010-02-01,1169451.8346037,1845721.06052084,2010,2,1
2010-02-01,1167375.53420737,1853667.63170793,2010,2,1
2010-02-02,1173739.02041523,1838397.90998811,2010,2,1
2010-02-02,1173743.98487791,1838223.74151781,2010,2,1
